0,GORILA Code,Site,Item Type,English Transcription,NEW FORMAT,Without Gaps,Without Vowels,Linear A Font,UNICODE Symbols,Notes,LOWER
,HT 1,Hagia Triada,,,QE-RA-U,QERAU,QRU,,,,qru
,HT 1,,,,KI-RO,KIRO,KR,,,,kr
,HT 1,,,,ZU-SU,ZUSU,ZS,,,,zs
,HT 1,,,,DI-DI-KA-ZE,DIDIKAZE,DDKZ,,,,ddkz
,HT 1,,,,KU-[AB056]-NU,KU056NU,K056N,,,,k056n
,HT 1,,,,A-RA-NA-RE,ARANARE,ARNR,,,,arnr
,HT 2,Hagia Triada,,,A-KA-RU,AKARU,AKR,,,,akr
,HT 2,,,,KI-RE-TA-NA,KIRETANA,KRTN,,,,krtn
,HT 3,Hagia Triada,,,QE-RA-JA,QERAJA,QRJ,,,,qrj
,HT 3,,,,QE-RA-YA,QERAYA,QRY,,,,qry
,HT 3,,,,MU-RU,MURU,MR,,,,mr
,HT 3,,,,KU-[AB056]-NU,KU056NU,K056N,,,,k056n
,HT 3,,,,MA-DI,MADI,MD,,,,md
,HT 4,Hagia Triada,,,RA-TI-KA-A-RE,RATIKAARE,RTAR,,,,rtar
,HT 4,,,,DU-RI-TE,DURITE,DRT,,,,drt
,HT 4,,,,PA-RE,PARE,PR,,,,pr
,HT 4,,,,TA-PI-RU-DI,TAPIRUDI,TPRD,,,,tprd
,HT 5,Hagia Triada,,,[A307],307,307,,,,307
,HT 5,,,,MA-SI,MASI,MS,,,,ms
,HT 5,,,,WI-DU,WIDU,WD,,,,wd
,HT6A,,,,KA-PA,KAPA,KP,,,,kp
,HT6A,,,,TE-NI,TENI,TN,,,,tn
,HT6A,,,,DA-TA-RA,DATARA,DTR,,,,dtr
,HT6A,,,,PI-TA-JA,PITAJA,PTJ,,,,ptj
,HT6A,,,,PI-TA-YA,PITAYA,PTY,,,,pty
,HT6A,,,,MA-QA,MAQA,MQ,,,,mq
,HT6A,,,,KI-[AB076]-DI-NE,KI076DINE,K076DN,,,,k076dn
,HT6A,,,,KA-PA-QE,KAPAQE,KPQ,,,,kpq
,HT6A,,,,DA-QE-RA,DAQERA,DQR,,,,dqr
,HT6A,,,,QE-PI-TA,QEPITA,QPT,,,,qpt
,HT6B,,,,WA-DU-NI-MI,WADUNIMI,WDNM,,,,wdnm
,HT6B,,,,RA-TI-SE,RATISE,RTS,,,,rts
,HT6B,,,,MA-RI-I-I,MARI999I,MR999I,,,,mr999i
,HT6B,,,,DU-DA-MA,DUDAMA,DDM,,,,ddm
,HT6B,,,,DA-KI,DAKI,DK,,,,dk
,HT6B,,,,SA-MA,SAMA,SM,,,,sm
